Hugo_Symbol	Chromosome	arm
NDUFAF2	5q12.1	5q
NDUFAF2P1	2p24.1	2p
NDUFAF2P2	11q24.3	11q
NDUFAF3	3p21.31	3p
NDUFAF4	6q16.1	6q
NDUFAF4P1	15q21.1	15q
NDUFAF4P2	7q21.3	7q
NDUFAF4P3	3p22.2	3p
NDUFAF4P4	1q25.1	1q
NDUFAF5	20p12.1	20p
NDUFAF6	8q22.1	8q
NDUFAF7	2p22.2	2p
NDUFAF8	17q25.3	17q
NDUFB1	14q31.3	14q
NDUFB1P1	3p21.31	3p
NDUFB1P2	1q41	1q
NDUFB2	7q34	7q
NDUFB2-AS1	7q34	7q
NDUFB2P1	4q32.1	4q
NDUFB3	2q33.1	2q
NDUFB3P1	1p13.3	1p
NDUFB3P2	9q33.3	9q
NDUFB3P3	14q22.1	14q
NDUFB3P4	14q32.2	14q
NDUFB4	3q13.33	3q
NDUFB4P1	3p14.1	3p
NDUFB4P2	5q11.2	5q
NDUFB4P3	17p11.2	17p
NDUFB4P4	2p23.3	2p
NDUFB4P5	2p11.2	2p
NDUFB4P6	2q14.1	2q
NDUFB4P7	2p11.2	2p
NDUFB4P8	1p36.33	1p
NDUFB4P9	4q31.1	4q
NDUFB4P10	20q13.12	20q
NDUFB4P11	14q32.32	14q
NDUFB4P12	4p13	4p
NDUFB5	3q26.33	3q
NDUFB5P1	4q34.3	4q
NDUFB6	9p21.1	9p
NDUFB7	19p13.12	19p
NDUFB8	10q24.31	10q
NDUFB8P1	14q24.3	14q
NDUFB8P2	17q23.1	17q
NDUFB8P3	11p13	11p
NDUFB9	8q24.13	8q
NDUFB9P1	5q13.2	5q
NDUFB9P2	7q32.3	7q
NDUFB9P3	8q23.2	8q
NDUFB10	16p13.3	16p
NDUFB10P1	15q21.3	15q
NDUFB10P2	7q34	7q
NDUFB11P1	11q14.3	11q
NDUFC1	4q31.1	4q
NDUFC2	11q14.1	11q
NDUFC2-KCTD14	11q14.1	11q
NDUFS1	2q33.3	2q
NDUFS2	1q23.3	1q
NDUFS3	11p11.2	11p
NDUFS4	5q11.2	5q
NDUFS5	1p34.3	1p
NDUFS5P1	6q23.3	6q
NDUFS5P2	1p21.3	1p
NDUFS5P3	1p32.3	1p
NDUFS5P4	4q23	4q
NDUFS5P5	4q26	4q
NDUFS5P6	8q13.2	8q
NDUFS5P7	17q11.2	17q
NDUFS6	5p15.33	5p
NDUFS6P1	3q22.2	3q
NDUFS7	19p13.3	19p
NDUFS8	11q13.2	11q
NDUFV1	11q13.2	11q
NDUFV2	18p11.22	18p
NDUFV2-AS1	18p11.22	18p
NDUFV2P1	19q13.42	19q
NDUFV3	21q22.3	21q
NEAT1	11q13.1	11q
NEB	2q23.3	2q
NEBL	10p12.31	10p
NEBL-AS1	10p12.31	10p
NECAB1	8q21.3	8q
NECAB2	16q23.3	16q
NECAB3	20q11.22	20q
NECAP1	12p13.31	12p
NECAP1P1	7p14.1	7p
NECAP1P2	2p13.1	2p
NECAP2	1p36.13	1p
NECTIN1	11q23.3	11q
NECTIN1-AS1	11q23.3	11q
NECTIN2	19q13.32	19q
NECTIN3	3q13.13	3q
NECTIN3-AS1	3q13.13	3q
NECTIN4	1q23.3	1q
NECTIN4-AS1	1q23.3	1q
NEDD1	12q23.1	12q
NEDD4	15q21.3	15q
NEDD4L	18q21.31	18q
NEDD8	14q12	14q
NEDD8-MDP1	14q12	14q
NEDD8P1	1p31.1	1p
NEDD9	6p24.2	6p
NEFH	22q12.2	22q
NEFHP1	1p13.1	1p
NEFL	8p21.2	8p
NEFLL1	2p12-q11	2p
NEFLL2	7q34-q35	7q
NEFM	8p21.2	8p
NEFMP1	10q21.1	10q
NEGR1	1p31.1	1p
NEGR1-AS1	1p31.1	1p
NEGR1-IT1	1p31.1	1p
NEIL1	15q24.2	15q
NEIL2	8p23.1	8p
NEIL3	4q34.3	4q
NEK1	4q33	4q
NEK2	1q32.3	1q
NEK2P1	14q11.2	14q
NEK2P2	22q11.1	22q
NEK2P3	14q11.1	14q
NEK2P4	2q21.1	2q
NEK3	13q14.3	13q
NEK4	3p21.1	3p
NEK4P1	21q21.1	21q
NEK4P2	17p11.2	17p
NEK4P3	10q21.3	10q
NEK5	13q14.3	13q
NEK6	9q33.3	9q
NEK7	1q31.3	1q
NEK8	17q11.2	17q
NEK9	14q24.3	14q
NEK10	3p24.1	3p
NEK11	3q22.1	3q
NELFA	4p16.3	4p
NELFB	9q34.3	9q
NELFCD	20q13.32	20q
NELFE	6p21.33	6p
NELL1	11p15.1	11p
NELL2	12q12	12q
NEM1	1p13-qter	1p
NEMF	14q21.3	14q
NEMP1	12q13.3	12q
NEMP2	2q32.2	2q
NENF	1q32.3	1q
NENFP1	1p33	1p
NENFP2	12q23.2	12q
NENFP3	5p15.2	5p
NEO1	15q24.1	15q
NEPNP	6q22.1	6q
NEPRO	3q13.2	3q
NES	1q23.1	1q
NET1	10p15.1	10p
NETO1	18q22.3	18q
NETO2	16q12.1	16q
NEU1	6p21.33	6p
NEU2	2q37.1	2q
NEU3	11q13.4	11q
NEU4	2q37.3	2q
NEURL1	10q24.33	10q
NEURL1-AS1	10q24.33	10q
NEURL1B	5q35.1	5q
NEURL2	20q13.12	20q
NEURL3	2q11.2	2q
NEURL4	17p13.1	17p
NEUROD1	2q31.3	2q
NEUROD2	17q12	17q
NEUROD4	12q13.2	12q
NEUROD6	7p14.3	7p
NEUROG1	5q31.1	5q
NEUROG2	4q25	4q
NEUROG2-AS1	4q25	4q
NEUROG3	10q22.1	10q
NEXN	1p31.1	1p
NEXN-AS1	1p31.1	1p
NF1	17q11.2	17q
NF1L3	2q33-q34	2q
NF1P1	15q11.2	15q
NF1P2	15q11.2	15q
NF1P3	21q11.2	21q
NF1P4	14q11.2	14q
NF1P5	18p11.21	18p
NF1P6	22q11.1	22q
NF1P7	14q11.2	14q
NF1P8	2q21.1	2q
NF1P9	15q11.2	15q
NF1P10	14q11.2	14q
NF1P11	14q11.2	14q
NF1P12	12q12	12q
NF2	22q12.2	22q
NFAM1	22q13.2	22q
NFASC	1q32.1	1q
NFAT5	16q22.1	16q
NFATC1	18q23	18q
NFATC2	20q13.2	20q
NFATC2IP	16p11.2	16p
NFATC3	16q22.1	16q
NFATC4	14q12	14q
NFE2	12q13.13	12q
NFE2L1	17q21.32	17q
NFE2L1-DT	17q21.32	17q
NFE2L2	2q31.2	2q
NFE2L3	7p15.2	7p
NFE2L3P1	18q21.32	18q
NFE2L3P2	17q21.32	17q
NFE4	7q22.1	7q
NFIA	1p31.3	1p
NFIA-AS1	1p31.3	1p
NFIA-AS2	1p31.3	1p
NFIB	9p23-p22.3	9p
NFIC	19p13.3	19p
NFIL3	9q22.31	9q
NFILZ	19p13.2	19p
NFIX	19p13.13	19p
NFKB1	4q24	4q
NFKB2	10q24.32	10q
NFKBIA	14q13.2	14q
NFKBIB	19q13.2	19q
NFKBID	19q13.12	19q
NFKBIE	6p21.1	6p
NFKBIL1	6p21.33	6p
NFKBIZ	3q12.3	3q
NFRKB	11q24.3	11q
NFS1	20q11.22	20q
NFU1	2p13.3	2p
NFU1P1	3p22.1	3p
NFU1P2	1p21.3	1p
NFX1	9p12	9p
NFXL1	4p12	4p
NFYA	6p21.1	6p
NFYAP1	13q21.31	13q
NFYB	12q23.3	12q
NFYBP1	3q13.13	3q
NFYC	1p34.2	1p
NFYC-AS1	1p34.2	1p
NFYCP2	9q21.33	9q
NGB	14q24.3	14q
NGDN	14q11.2	14q
NGEF	2q37.1	2q
NGF	1p13.2	1p
NGF-AS1	1p13.2	1p
NGFR	17q21.33	17q
NGLY1	3p24.2	3p
NGRN	15q26.1	15q
NHEJ1	2q35	2q
NHLH1	1q23.2	1q
NHLH2	1p13.1	1p
NHLRC1	6p22.3	6p
NHLRC2	10q25.3	10q
NHLRC3	13q13.3	13q
NHLRC4	16p13.3	16p
NHP2	5q35.3	5q
NHP2P1	10q23.32	10q
NHP2P2	7p15.2	7p
NHSL1	6q24.1	6q
NIBAN1	1q25.3	1q
NIBAN2	9q34.11	9q
NIBAN3	19p13.11	19p
NICN1	3p21.31	3p
NICN1-AS1	3p21.31	3p
NID1	1q42.3	1q
NID2	14q22.1	14q
NIDDM1	2q	2q
NIDDM2	12q24.2	12q
NIF3L1	2q33.1	2q
NIFK	2q14.3	2q
NIFK-AS1	2q14.3	2q
NIFKP1	10p11.23	10p
NIFKP2	5q35.2	5q
NIFKP3	12p13.31	12p
NIFKP4	15q24.2	15q
NIFKP5	15q26.1	15q
NIFKP6	19q13.41	19q
NIFKP7	3p22.3	3p
NIFKP8	15q25.3	15q
NIFKP9	2q14.3	2q
NIM1K	5p12	5p
NIN	14q22.1	14q
NINJ1	9q22.31	9q
NINJ2	12p13.33	12p
NINJ2-AS1	12p13.33	12p
NINL	20p11.21	20p
NIP7	16q22.1	16q
NIP7P1	10q23.33	10q
NIP7P2	3q22.1	3q
NIP7P3	6q22.1	6q
NIPA1	15q11.2	15q
NIPA2	15q11.2	15q
NIPA2P1	7q21.13	7q
NIPA2P2	3p12.3	3p
NIPA2P3	21q21.1	21q
NIPA2P4	8q21.13	8q
NIPA2P5	13q31.1	13q
NIPAL1	4p12	4p
NIPAL2	8q22.2	8q
NIPAL3	1p36.11	1p
NIPAL4	5q33.3	5q
NIPBL	5p13.2	5p
NIPBL-DT	5p13.2	5p
NIPSNAP1	22q12.2	22q
NIPSNAP2	7p11.2	7p
NIPSNAP3A	9q31.1	9q
NIPSNAP3B	9q31.1	9q
NISCH	3p21.1	3p
NIT1	1q23.3	1q
NIT2	3q12.2	3q
NKAIN1	1p35.2	1p
NKAIN1P1	1q21.1	1q
NKAIN1P2	2p11.2	2p
NKAIN2	6q22.31	6q
NKAIN3	8q12.3	8q
NKAIN3-IT1	8q12.3	8q
NKAIN4	20q13.33	20q
NKAPD1	11q23.1	11q
NKAPL	6p22.1	6p
NKD1	16q12.1	16q
NKD2	5p15.33	5p
NKG7	19q13.41	19q
NKILA	20q13.31	20q
NKIRAS1	3p24.2	3p
NKIRAS2	17q21.2	17q
NKPD1	19q13.32	19q
NKS1	6p21.3	6p
NKTR	3p22.1	3p
NKX1-1	4p16.3	4p
NKX1-2	10q26.13	10q
NKX2-1	14q13.3	14q
NKX2-1-AS1	14q13.3	14q
NKX2-2	20p11.22	20p
NKX2-2-AS1	20p11.22	20p
NKX2-3	10q24.2	10q
NKX2-4	20p11.22	20p
NKX2-5	5q34	5q
NKX2-6	8p21.2	8p
NKX2-8	14q13.3	14q
NKX3-1	8p21.2	8p
NKX3-2	4p15.33	4p
NKX6-1	4q21.23	4q
NKX6-2	10q26.3	10q
NKX6-3	8p11.21	8p
NLE1	17q12	17q
NLGN1	3q26.31	3q
NLGN1-AS1	3q26.31	3q
NLGN2	17p13.1	17p
NLK	17q11.2	17q
NLN	5q12.3	5q
NLRC3	16p13.3	16p
NLRC4	2p22.3	2p
NLRC5	16q13	16q
NLRP1	17p13	17p
NLRP2	19q13.42	19q
NLRP3	1q44	1q
NLRP4	19q13.43	19q
NLRP5	19q13.43	19q
NLRP6	11p15.5	11p
NLRP7	19q13.42	19q
NLRP8	19q13.43	19q
NLRP9	19q13.42	19q
NLRP9P1	12q24.33	12q
NLRP10	11p15.4	11p
NLRP11	19q13.43	19q
NLRP12	19q13.42	19q
NLRP13	19q13.43	19q
NLRP14	11p15.4	11p
NLRX1	11q23.3	11q
NM	7q22-qter	7q
NMB	15q25.2	15q
NMBR	6q24.1	6q
NMBR-AS1	6q24.1	6q
NMD3	3q26.1	3q
NMD3P1	7q11.21	7q
NMD3P2	7p11.2	7p
NME1	17q21.33	17q
NME1-NME2	17q21.33	17q
NME1P1	13q12.11	13q
NME2	17q21.33	17q
NME2P1	12q24.23	12q
NME2P2	2p16.3	2p
NME2P3	9q22.33	9q
NME3	16p13.3	16p
NME4	16p13.3	16p
NME5	5q31.2	5q
NME6	3p21.31	3p
NME7	1q24.2	1q
NME8	7p14.1	7p
NME9	3q22.3	3q
NMI	2q23.3	2q
NMNAT1	1p36.22	1p
NMNAT1P1	14q31.1	14q
NMNAT1P2	1q23.3	1q
NMNAT1P3	3q28	3q
NMNAT1P4	4q31.21	4q
NMNAT1P5	15q22.2	15q
NMNAT2	1q25.3	1q
NMNAT3	3q23	3q
NMRAL1	16p13.3	16p
NMRAL2P	3q27.2	3q
NMRK1	9q21.13	9q
NMRK2	19p13.3	19p
NMS	2q11.2	2q
NMT1	17q21.31	17q
NMT2	10p13	10p
NMTRL-TAA1-1	4q32.1	4q
NMTRL-TAA2-1	2q14.1	2q
NMTRL-TAA3-1	1q43	1q
NMTRL-TAA5-1	20q13.31	20q
NMTRL-TAA6-1	8q11.1	8q
NMTRP-TGG1-1	1q43	1q
NMTRQ-CTG1-1	10p12.31	10p
NMTRQ-TTG2-1	7q34	7q
NMTRQ-TTG3-1	2q14.1	2q
NMTRQ-TTG4-1	3q13.12	3q
NMTRQ-TTG5-1	16p13.3	16p
NMTRQ-TTG6-1	12q13.12	12q
NMTRQ-TTG7-1	2q21.1	2q
NMTRQ-TTG9-1	2q21.1	2q
NMTRQ-TTG10-1	13q13.3	13q
NMTRQ-TTG11-1	8p12	8p
NMTRQ-TTG12-1	17p11.2	17p
NMTRQ-TTG13-1	7p11.2	7p
NMTRQ-TTG14-1	9p24.1	9p
NMTRQ-TTG15-1	4q32.1	4q
NMTRS-TGA1-1	2q21.1	2q
NMTRS-TGA2-1	2q21.1	2q
NMTRS-TGA3-1	17p11.2	17p
NMTRV-TAC1-1	6q25.3	6q
NMU	4q12	4q
NMUR1	2q37.1	2q
NMUR2	5q33.1	5q
NNAT	20q11.23	20q
NNMT	11q23.2	11q
NNO1	11p13	11p
NNT	5p12	5p
NNT-AS1	5p12	5p
NOA1	4q12	4q
NOB1	16q22.1	16q
NOBOX	7q35	7q
NOC2L	1p36.33	1p
NOC2LP1	2q21.1	2q
NOC2LP2	2q21.1	2q
NOC3L	10q23.33	10q
NOC4L	12q24.33	12q
NOCT	4q31.1	4q
NOD1	7p14.3	7p
NOD2	16q12.1	16q
NODAL	10q22.1	10q
NOG	17q22	17q
NOL3	16q22.1	16q
NOL4	18q12.1	18q
NOL4L	20q11.21	20q
NOL4L-DT	20q11.21	20q
NOL6	9p13.3	9p
NOL7	6p23	6p
NOL8	9q22.31	9q
NOL8P1	4q32.3	4q
NOL9	1p36.31	1p
NOL10	2p25.1	2p
NOL11	17q24.2	17q
NOL12	22q13.1	22q
NOLC1	10q24.32	10q
NOM1	7q36.3	7q
NOMO1	16p13.11	16p
NOMO2	16p12.3	16p
NOMO3	16p13.11	16p
NONOP1	16q22.1	16q
NONOP2	2p16.1	2p
NOP2	12p13.31	12p
NOP9	14q12	14q
NOP10	15q14	15q
NOP14	4p16.3	4p
NOP14-AS1	4p16.3	4p
NOP16	5q35.2	5q
NOP53	19q13.33	19q
NOP53-AS1	19q13.33	19q
NOP56	20p13	20p
NOP56P1	6p22.1	6p
NOP56P2	9p21.3	9p
NOP56P3	12q21.2	12q
NOP58	2q33.1	2q
NORAD	20q11.23	20q
NOS1	12q24.22	12q
NOS1AP	1q23.3	1q
NOS2	17q11.2	17q
NOS2P1	17q11.2	17q
NOS2P2	17p11.2	17p
NOS2P3	17p11.2	17p
NOS2P4	17p11.2	17p
NOS3	7q36.1	7q
NOSIP	19q13.33	19q
NOSTRIN	2q24.3	2q
NOTCH1	9q34.3	9q
NOTCH2	1p12	1p
NOTCH2NLA	1q21.1	1q
NOTCH2NLB	1q21.2	1q
NOTCH2NLC	1q21.2	1q
NOTCH2NLR	1p11.2	1p
NOTCH2P1	1p12	1p
NOTCH3	19p13.12	19p
NOTCH4	6p21.32	6p
NOTO	2p13.2	2p
NOTUM	17q25.3	17q
NOVA1	14q12	14q
NOVA2	19q13.32	19q
NOX3	6q25.3	6q
NOX4	11q14.3	11q
NOX5	15q23	15q
NOXA1	9q34.3	9q
NOXO1	16p13.3	16p
NOXRED1	14q24.3	14q
NPAP1	15q11.2	15q
NPAP1L	16q21	16q
NPAP1P1	10q11.23	10q
NPAP1P2	10q22.3	10q
NPAP1P3	10q23.2	10q
NPAP1P4	9q21.31	9q
NPAP1P5	9q22.1	9q
NPAP1P6	9q21.31	9q
NPAP1P7	9q22.1	9q
NPAP1P8	9q21.32	9q
NPAS1	19q13.32	19q
NPAS2	2q11.2	2q
NPAS2-AS1	2q11.2	2q
NPAS3	14q13.1	14q
NPAS4	11q13.2	11q
NPAT	11q22.3	11q
NPB	17q25.3	17q
NPBWR1	8q11.23	8q
NPBWR2	20q13.33	20q
NPC1	18q11.2	18q
NPC1L1	7p13	7p
NPC2	14q24.3	14q
NPCDR1	3p14.2 not on reference assembly	3p
NPDC1	9q34.3	9q
NPEPL1	20q13.32	20q
NPEPPS	17q21.32	17q
NPEPPSP1	17q12	17q
NPFF	12q13.13	12q
NPFFR1	10q22.1	10q
NPFFR2	4q13.3	4q
NPHP1	2q13	2q
NPHP2	9q22-q31	9q
NPHP3	3q22.1	3q
NPHP3-ACAD11	3q22.1	3q
NPHP3-AS1	3q22.1	3q
NPHP4	1p36.31	1p
NPHS1	19q13.12	19q
NPHS2	1q25.2	1q
NPIPA1	16p13.11	16p
NPIPA2	16p13.11	16p
NPIPA3	16p13.11	16p
NPIPA5	16p13.11	16p
NPIPA7	16p13.11	16p
NPIPA8	16p12.3	16p
NPIPA9	16p12.3	16p
NPIPB1P	18p11.21	18p
NPIPB2	16p13.13	16p
NPIPB3	16p12.2	16p
NPIPB4	16p12.2	16p
NPIPB5	16p12.2	16p
NPIPB6	16p12.1	16p
NPIPB7	16p12.1	16p
NPIPB8	16p11.2	16p
NPIPB9	16p11.2	16p
NPIPB10P	16p11.2	16p
NPIPB11	16p11.2	16p
NPIPB12	16p11.2	16p
NPIPB13	16p11.2	16p
NPIPB14P	16q22.1	16q
NPIPB15	16q23.1	16q
NPIPP1	16p13.11	16p
NPL	1q25.3	1q
NPLOC4	17q25.3	17q
NPLP1	2p22.1	2p
NPM1	5q35.1	5q
NPM1P1	18q12.3	18q
NPM1P2	18q11.2	18q
NPM1P3	16p13.3	16p
NPM1P4	13q12.2	13q
NPM1P5	15q26.1	15q
NPM1P6	8q12.2	8q
NPM1P7	12p13.31	12p
NPM1P10	6q16.3	6q
NPM1P11	7p21.3	7p
NPM1P12	7q36.1	7q
NPM1P13	7p21.1	7p
NPM1P14	7q31.1	7q
NPM1P16	12p13.31	12p
NPM1P17	3q22.3	3q
NPM1P18	7p14.2	7p
NPM1P19	20q11.23	20q
NPM1P20	14q32.31	14q
NPM1P21	8q12.1	8q
NPM1P22	13q21.32	13q
NPM1P23	3p24.2	3p
NPM1P24	10q22.1	10q
NPM1P25	10q24.1	10q
NPM1P26	10q24.1	10q
NPM1P27	5q15	5q
NPM1P28	3q24	3q
NPM1P29	3q25.1	3q
NPM1P30	10p12.31	10p
NPM1P31	10q26.13	10q
NPM1P32	2q14.3	2q
NPM1P33	2q33.2	2q
NPM1P35	11q12.3	11q
NPM1P36	6p12.1	6p
NPM1P37	6q13	6q
NPM1P38	6q16.3	6q
NPM1P39	1p36.11	1p
NPM1P40	1q32.1	1q
NPM1P41	4q21.22	4q
NPM1P42	15q24.1	15q
NPM1P43	15q24.1	15q
NPM1P44	8q13.2	8q
NPM1P45	17p13.1	17p
NPM1P46	2q33.1	2q
NPM1P47	15q22.2	15q
NPM1P48	2p25.2	2p
NPM1P50	11q13.4	11q
NPM1P51	6p21.1	6p
NPM1P52	8q22.3	8q
NPM2	8p21.3	8p
NPM3	10q24.32	10q
NPNT	4q24	4q
NPPA	1p36.22	1p
NPPA-AS1	1p36.21	1p
NPPB	1p36.22	1p
NPPC	2q37.1	2q
NPR1	1q21.3	1q
NPR2	9p13.3	9p
NPR3	5p13.3	5p
NPRL2	3p21.31	3p
NPRL3	16p13.3	16p
NPS	10q26.2	10q
NPSR1	7p14.3	7p
NPSR1-AS1	7p14.3	7p
NPTN	15q24.1	15q
NPTN-IT1	15q24.1	15q
NPTX1	17q25.3	17q
NPTX2	7q22.1	7q
NPTXR	22q13.1	22q
NPVF	7p15.3	7p
NPW	16p13.3	16p
NPY	7p15.3	7p
NPY1R	4q32.2	4q
NPY2R	4q32.1	4q
NPY4R	10q11.22	10q
NPY4R2	10q11.22	10q
NPY5R	4q32.2	4q
NPY6R	5q31.2	5q
NQO1	16q22.1	16q
NQO2	6p25.2	6p
NQO2-AS1	6p25.2	6p
NR1D1	17q21.1	17q
NR1D2	3p24.2	3p
NR1H2	19q13.3	19q
NR1H3	11p11.2	11p
NR1H4	12q23.1	12q
NR1H5P	1p13.2	1p
NR1I2	3q13.33	3q
NR1I3	1q23.3	1q
NR2C1	12q22	12q
NR2C2	3p25.1	3p
NR2C2AP	19p13.11	19p
NR2E1	6q21	6q
NR2E3	15q23	15q
NR2F1	5q15	5q
NR2F1-AS1	5q15	5q
NR2F2	15q26.2	15q
NR2F2-AS1	15q26.2	15q
NR2F6	19p13.11	19p
NR3C1	5q31.3	5q
NR3C1P1	16q24.2	16q
NR3C2	4q31	4q
NR4A1	12q13.13	12q
NR4A1AS	12q13.13	12q
NR4A2	2q22-q23	2q
NR4A3	9q22	9q
NR5A1	9q33.3	9q
NR5A2	1q32.1	1q
NR6A1	9q33.3	9q
NRAD1	13q14.11	13q
NRADDP	3p21.31	3p
NRAP	10q25.3	10q
NRARP	9q34.3	9q
NRAS	1p13.2	1p
NRAV	12q24.31	12q
NR0B2	1p36.11	1p
NRBF2	10q21.3	10q
NRBF2P1	18q12.2	18q
NRBF2P2	3p21.31	3p
NRBF2P3	1p13.3	1p
NRBF2P4	8q23.1	8q
NRBF2P5	10p15.1	10p
NRBF2P6	2q37.1	2q
NRBP1	2p23.3	2p
NRBP2	8q24.3	8q
NRCAM	7q31.1	7q
NRDC	1p32.3	1p
NRDE2	14q32.11	14q
NREP	5q22.1	5q
NREP-AS1	5q22.1	5q
NRF1	7q32.2	7q
NRG1	8p12	8p
NRG1-IT1	8p12	8p
NRG1-IT2	8p12	8p
NRG1-IT3	8p12	8p
NRG2	5q31.2	5q
NRG3	10q23.1	10q
NRG3-AS1	10q23.1	10q
NRG4	15q24.2	15q
NRGN	11q24.2	11q
NRIP1	21q11.2-q21.1	21q
NRIP2	12p13.33	12p
NRIP3	11p15.4	11p
NRIR	2p25.2	2p
NRL	14q11.2-q12	14q
NRM	6p21.33	6p
NRN1	6p25.1	6p
NRN1L	16q22.1	16q
NRON	9q33.3	9q
NRP1	10p11.22	10p
NRP2	2q33.3	2q
NRROS	3q29	3q
NRSN1	6p22.3	6p
NRSN2	20p13	20p
NRSN2-AS1	20p13	20p
NRTN	19p13.3	19p
NRXN1	2p16.3	2p
NRXN2	11q13.1	11q
NRXN2-AS1	11q13.1	11q
NRXN3	14q24.3-q31.1	14q
NSA2	5q13.3	5q
NSA2P1	1q32.1	1q
NSA2P2	12q22	12q
NSA2P4	15q22.2	15q
NSA2P5	2q31.1	2q
NSA2P6	4q31.3	4q
NSA2P7	9q22.32	9q
NSD1	5q35.3	5q
NSD2	4p16.3	4p
NSD3	8p11.23	8p
NSF	17q21.31	17q
NSFL1C	20p13	20p
NSFP1	17q21.31	17q
NSG1	4p16.3	4p
NSG2	5q35.2	5q
NSL1	1q32.3	1q
NSMAF	8q12.1	8q
NSMCE1	16p12.1	16p
NSMCE1-DT	16p12.1	16p
NSMCE2	8q24.13	8q
NSMCE3	15q13.1	15q
NSMCE4A	10q26.13	10q
NSMF	9q34.3	9q
NSRP1	17q11.2	17q
NSRP1P1	1p31.1	1p
NSUN2	5p15.31	5p
NSUN3	3q11.2	3q
NSUN4	1p33	1p
NSUN5	7q11.23	7q
NSUN5P1	7q11.23	7q
NSUN5P2	7q11.23	7q
NSUN6	10p12.31	10p
NSUN7	4p14	4p
NT5C	17q25	17q
NT5C1A	1p34.2	1p
NT5C1B	2p24.2	2p
NT5C1B-RDH14	2p24.2	2p
NT5C2	10q24.32-q24.33	10q
NT5C3A	7p14.3	7p
NT5C3AP1	4q26	4q
NT5C3AP2	3q13.2	3q
NT5C3B	17q21.2	17q
NT5CP1	14q24.3	14q
NT5CP2	14q24.3	14q
NT5CP3	13q21.33	13q
NT5DC1	6q22.1	6q
NT5DC2	3p21.1	3p
NT5DC3	12q23.3	12q
NT5DC4	2q14.1	2q
NT5E	6q14.3	6q
NT5M	17p11.2	17p
NTAN1	16p13.11	16p
NTAN1P1	10q25.3	10q
NTAN1P2	8q21.3	8q
NTAN1P3	12q15	12q
NTAQ1	8q24.13	8q
NTF3	12p13.31	12p
NTF4	19q13.33	19q
NTF6A	19q13.33	19q
NTF6B	19q13.33	19q
NTF6G	19q13.33	19q
NTHL1	16p13.3	16p
NTM	11q25	11q
NTM-AS1	11q25	11q
NTM-IT	11q25	11q
NTM-IT1	11q25	11q
NTM-IT2	11q25	11q
NTMT1	9q34.11	9q
NTN1	17p13.1	17p
NTN3	16p13.3	16p
NTN4	12q22	12q
NTN5	19q13.33	19q
NTNG1	1p13.3	1p
NTNG2	9q34.13	9q
NTPCR	1q42.2	1q
NTRK1	1q23.1	1q
NTRK2	9q21.33	9q
NTRK3	15q25.3	15q
NTRK3-AS1	15q25.3	15q
NTS	12q21.31	12q
NTSR1	20q13.33	20q
NTSR2	2p25.1	2p
NUAK1	12q23.3	12q
NUAK2	1q32.1	1q
NUB1	7q36.1	7q
NUBP1	16p13.13	16p
NUBP2	16p13.3	16p
NUBPL	14q12	14q
NUCB1	19q13.33	19q
NUCB1-AS1	19q13.33	19q
NUCB2	11p15.1	11p
NUCKS1	1q32.1	1q
NUCKS1P1	1q42.13	1q
NUDC	1p36.11	1p
NUDCD1	8q23.1	8q
NUDCD2	5q34	5q
NUDCD3	7p13	7p
NUDCP1	2q23.3	2q
NUDCP2	2q31	2q
NUDT1	7p22.3	7p
NUDT2	9p13.3	9p
NUDT3	6p21.31	6p
NUDT4	12q22	12q
NUDT4B	1q21.2	1q
NUDT4P2	1q21.1	1q
NUDT5	10p14	10p
NUDT6	4q28.1	4q
NUDT7	16q23.1	16q
NUDT8	11q13.2	11q
NUDT9	4q22.1	4q
NUDT9P1	10q23.32	10q
NUDT12	5q21.2	5q
NUDT13	10q22.2	10q
NUDT14	14q32.33	14q
NUDT15	13q14.2	13q
NUDT15P1	8q12.1	8q
NUDT15P2	17q11.2	17q
NUDT16	3q22.1	3q
NUDT16L1	16p13.3	16p
NUDT16P1	3q22.1	3q
NUDT17	1q21.1	1q
NUDT18	8p21.3	8p
NUDT19	19q13.11	19q
NUDT19P3	6q21	6q
NUDT19P4	6p21.1	6p
NUDT19P5	4q32.1	4q
NUDT21	16q13	16q
NUDT21P1	13q31.2	13q
NUDT22	11q13.1	11q
NUF2	1q23.3	1q
NUFIP1	13q14.12	13q
NUFIP1P1	6q12	6q
NUFIP2	17q11.2	17q
NUGGC	8p21.1	8p
NUMA1	11q13.4	11q
NUMB	14q24.3	14q
NUMBL	19q13.2	19q
NUP35	2q32.1	2q
NUP35P1	10p12.2	10p
NUP35P2	7q21.11	7q
NUP37	12q23.2	12q
NUP42	7p15.3	7p
NUP43	6q25.1	6q
NUP50	22q13.31	22q
NUP50-DT	22q13.31	22q
NUP50P1	14q23.3	14q
NUP50P2	6p22	6p
NUP50P3	5p14	5p
NUP54	4q21.1	4q
NUP58	13q12.13	13q
NUP58P1	4q28.1	4q
NUP62	19q13.33	19q
NUP85	17q25.1	17q
NUP88	17p13.2	17p
NUP93	16q13	16q
NUP98	11p15.4	11p
NUP107	12q15	12q
NUP133	1q42.13	1q
NUP153	6p22.3	6p
NUP155	5p13.2	5p
NUP160	11p11.2	11p
NUP188	9q34.11	9q
NUP205	7q33	7q
NUP210	3p25.1	3p
NUP210L	1q21.3	1q
